make,model,priceusd,year,condition,mileage_kilometers,fuel_type,volume_cm3,color,transmission,drive_unit,segment,car_age,mileage_per_year
mazda,2,5500,2008,with mileage,162000.0,petrol,1500.0,burgundy,mechanics,front-wheel drive,b,11,14727.272727272728
mazda,2,5350,2009,with mileage,120000.0,petrol,1300.0,black,mechanics,front-wheel drive,b,10,12000.0
mazda,2,7000,2009,with mileage,61000.0,petrol,1500.0,silver,auto,front-wheel drive,b,10,6100.0
mazda,2,3300,2003,with mileage,265000.0,diesel,1400.0,white,mechanics,front-wheel drive,b,16,16562.5
mazda,2,5200,2008,with mileage,97183.0,diesel,1400.0,gray,mechanics,front-wheel drive,b,11,8834.818181818182
mazda,2,3400,2005,with mileage,150000.0,petrol,1300.0,blue,mechanics,front-wheel drive,b,14,10714.285714285714
mazda,2,5000,2008,with mileage,112000.0,petrol,1300.0,gray,mechanics,front-wheel drive,b,11,10181.818181818182
mazda,2,7300,2009,with mileage,95000.0,petrol,1500.0,other,auto,front-wheel drive,b,10,9500.0
mazda,2,6400,2010,with mileage,93804.0,petrol,1500.0,other,mechanics,front-wheel drive,b,9,10422.666666666666
mazda,2,6132,2008,with mileage,196511.0,petrol,1500.0,other,auto,front-wheel drive,b,11,17864.636363636364
mazda,2,5200,2008,with mileage,98000.0,diesel,1500.0,gray,mechanics,front-wheel drive,b,11,8909.09090909091
mazda,2,3299,2003,with mileage,314000.0,diesel,1400.0,gray,mechanics,front-wheel drive,b,16,19625.0
mazda,2,5400,2008,with mileage,150000.0,diesel,1400.0,purple,mechanics,front-wheel drive,b,11,13636.363636363636
mazda,2,6850,2010,with mileage,147000.0,petrol,1500.0,gray,auto,front-wheel drive,b,9,16333.333333333334
mazda,2,5300,2008,with mileage,118000.0,diesel,1400.0,silver,mechanics,front-wheel drive,b,11,10727.272727272728
mazda,2,5670,2010,with mileage,148000.0,diesel,1400.0,gray,mechanics,front-wheel drive,b,9,16444.444444444445
